iter	Logloss
0	0.6894028862
1	0.6863888435
2	0.6839654311
3	0.6790263338
4	0.6747227795
5	0.6718470735
6	0.6683912457
7	0.6636854927
8	0.6595984405
9	0.6555096608
10	0.6513984248
11	0.6475291702
12	0.6456136164
13	0.6408923167
14	0.637398198
15	0.6340550837
16	0.6302114523
17	0.62614772
18	0.6221294763
19	0.6185544572
20	0.6144520022
21	0.6103933082
22	0.6067466016
23	0.6038691683
24	0.6007791195
25	0.597199566
26	0.5931754922
27	0.5897083282
28	0.587375137
29	0.5838538476
30	0.5803421308
31	0.5767324196
32	0.5727514591
33	0.5701253279
34	0.5675158951
35	0.5639530398
36	0.5606631153
37	0.5583713819
38	0.5555477862
39	0.5525784403
40	0.5496251808
41	0.5481347498
42	0.5450928166
43	0.5419299647
44	0.5395234306
45	0.5362579778
46	0.5328521729
47	0.5299657426
48	0.5271791422
49	0.5242293736
50	0.5218215079
51	0.5190673684
52	0.5164422089
53	0.5141062467
54	0.5117230325
55	0.5094911827
56	0.5079802747
57	0.5056246632
58	0.5034384098
59	0.5012509688
60	0.4984309358
61	0.4955346089
62	0.4930701346
63	0.4908856086
64	0.4887024142
65	0.4867661674
66	0.484612087
67	0.4821561777
68	0.480091059
69	0.4794303606
70	0.4772767841
71	0.4752028843
72	0.4727878211
73	0.4704195059
74	0.4684796243
75	0.4661539186
76	0.4639693926
77	0.4617912364
78	0.4601324549
79	0.4582833704
80	0.4560412281
81	0.4536525079
82	0.4514460654
83	0.4494227283
84	0.4477361283
85	0.4464756948
86	0.4450528847
87	0.4430172039
88	0.4407874413
89	0.4388159986
90	0.4370688672
91	0.4355426285
92	0.4337188433
93	0.4324070193
94	0.4308052783
95	0.4286757415
96	0.4276502357
97	0.4259706893
98	0.42397733
99	0.4222245846
100	0.4206558443
101	0.4189243677
102	0.4170763987
103	0.415746149
104	0.4146339848
105	0.4127222097
106	0.4112467856
107	0.4095043686
108	0.4078907517
109	0.4064060427
110	0.4043507126
111	0.4030567025
112	0.4015479898
113	0.3998218752
114	0.3986392831
115	0.396911909
116	0.3951809361
117	0.3935315834
118	0.3918046052
119	0.390138914
120	0.3883396365
121	0.3868497093
122	0.3854364719
123	0.3841873025
124	0.3826288547
125	0.3814599379
126	0.3797726181
127	0.377972009
128	0.3764899632
129	0.3753960807
130	0.373673637
131	0.3728310207
132	0.3714459977
133	0.3704220754
134	0.3691868332
135	0.3678187964
136	0.3666501315
137	0.3659027388
138	0.364476006
139	0.3633341519
140	0.3622326761
141	0.3615725175
142	0.3602830059
143	0.3592180576
144	0.3582752876
145	0.3568598189
146	0.3557007628
147	0.354294399
148	0.3535057644
149	0.3532370801
150	0.3520108349
151	0.3512039904
152	0.3500423791
153	0.3489696575
154	0.3482364439
155	0.3476053994
156	0.3467877226
157	0.3455677752
158	0.3443911211
159	0.3433565824
160	0.3427960378
161	0.3415770981
162	0.3406036665
163	0.3396077426
164	0.3386996287
165	0.337621257
166	0.3363872744
167	0.3357570216
168	0.3345741056
169	0.3335956358
170	0.3325526399
171	0.3316785345
172	0.3307373479
173	0.3297146491
174	0.3292691933
175	0.3280683553
176	0.327454477
177	0.3264067668
178	0.3257639903
179	0.3250523693
180	0.3238562818
181	0.3234840249
182	0.3225650427
183	0.3218063858
184	0.3210177871
185	0.3203022795
186	0.3193961809
187	0.3182110337
188	0.3175096692
189	0.3165739527
190	0.315732776
191	0.3150213709
192	0.3137440951
193	0.3131736899
194	0.3123308578
195	0.3114376428
196	0.3102339619
197	0.3096374656
198	0.3090406094
199	0.3082855153
200	0.3075034303
201	0.3064951627
202	0.3057593939
203	0.304889607
204	0.304113712
205	0.3036386742
206	0.3028236245
207	0.3019193973
208	0.3013044753
209	0.3008518759
210	0.3000782481
211	0.2991187977
212	0.2984237491
213	0.2972664923
214	0.2967773294
215	0.2961269595
216	0.2955316148
217	0.2948833682
218	0.2940794927
219	0.2935794614
220	0.2930592951
221	0.2922622933
222	0.2915452201
223	0.2908678775
224	0.2903941172
225	0.2897519525
